sentence	level
使学生学习是教师的责任。	3
律师向我们解释了新法律。	4
他努力控制住自己的脾气。	5
我是唯一明了老师真正在说什么的人。	5
要准时来，否则你会给人一个坏的印象。	4
她羞怯地从她的扇子后面看了他一眼。	7
我想他会拒绝的。我恰恰认为她是个固执已见的人，做这种事当然不合乎她的习惯。	6
不管有什么困难，他都要继续推行他的计划。	3
她对他的影响非常大，以至于完全控制了他。	5
丹在学校是个好学生；我们期望他经商成功。	7
谁把我写在黑板上的数字擦掉了?	4
你的鼓励使我对我的未来更加有信心。	5
只要把它完成了，你怎么做我并不计较。	3
如果你同意我的意见，就明白地回答“是”。	2
他比她高5公分。	2
陪我的是一位高先生，他是医院院长。	5
我的电话坏了。	1
我只想说对不起。	2
我喜欢节奏快的音乐。	6
你喜欢姜汁啤酒吗？	7
老师不应该体罚学生。	5
如果你在雾天去爬山，你是在自讨苦吃。	7
她使她的手指和我的手指交错。	3
我在街上遇到他。	4
你使我非常为难。	2
请接受我的慰问。	5
我想买一台空调。	3
我在这家商店里买了一品脱牛奶。	4
她一大早就起床了。	1
她觉察到她的机会。	3
写作是他的生命。	3
他没多少文化修养。	3
我再一考虑，反倒觉得可能还是她对。	4
我一觉醒来，发现我所有的衣服不翼而飞。	7
你相信有仙女吗？	7
我相信他的誓言。	7
他是自己掏腰包的。	6
说不定他已经死了。	3
他有早起的习惯。	2
他的职业是经商。	3
很明显，他是罪犯。	6
他的朋友很少，因此他的生活非常孤单。	6
我认为那电影不怎么样。	2
我通常大概7点起床。	3
你对气功怎么看？	3
我特别不喜欢洋葱。	7
我丈夫和我都喜欢乡村的宁静生活。	4
我不太满意他对这个句子的翻译。	4
尽管他帮助过我，可是我还是恨他。	5
车祸夺去了他的妻子和儿子的生命。	7
六十分等于一小时。	2
他发誓永远爱她。	7
我们想去参加化装舞会。	3
如果你到今晚把手头上的工作做完，你明天就可以休息。	3
我并不了解讨论的情况，所以无法告诉你做了什么决定。	4
你打算做什么?	2
他不愿意受到打扰。	5
我们白天工作晚上休息。	1
我们认为他值得信任。	3
能和你在一起对我是件极为安慰的事。	5
在自由市场上，那个男人卖给我坏鸡蛋骗了我。	5
我请他去给我晚报拿来。	2
他给我买了两只小乌龟。	7
他警告我晚上不要到那去。	3
他没吃早饭就去上学了。	1
要找他时，他偏偏不在。	6
别哭，你现在已经是大男孩了。	2
我可不喜欢整天和他在一起。	3
那男孩今天早上吃了三碗米饭。	2
您想买进口的还是国产的？	3
休息一下对你会有好处的。	2
我想看见他受辱，他使别人吃苦，也让他吃同样的苦。	7
她的书法有了明显的进步。	3
我不和我的老板谈私事。	5
我认为他是更合适的人选。	2
她对服装有很好的审美眼光。	6
他给他的汽车装了空调。	3
我向他表达了诚挚的问候。	7
你猜我今天碰见谁了?	5
你猜我今天碰见谁了.	5
她对她的孩子们很严格。	4
她干的工作比别人要好些。	1
那是个小巧玲珑的开罐头工具。	7
她知道金属为什么是好的导体。	3
她把她的意思解释得清清楚楚。	4
我已经准备好与你较量力气。	4
再呆10个星期，一共3个月。	5
她往餐具柜里放了些盘子。	5
我们大家比以往更需要努力工作。	3
我把手套落在公共汽车上了。	3
我十分乐意为你做任何事情。	3
我儿子六岁的时候开始学习乘法。	5
他对你给他的东西没流露出一丝兴趣。	7
照我的和大多数人的看法，这是很可靠的投资。	4
好主意。我们或者吃汉堡包或者吃中餐。你更喜欢哪一样？	7
他的样子和他在电话中说话的声音反映的病情是一样的。	4
喂，服务员，这汤太咸了。	4
我可以用信用卡付款吗？	5
我真的会想念你的。	3
他的书上个月出版了。	5
那是我想象不到的。	3
他在半路走丢了。	5
他一辈子都住在这里。	5
有要紧的事把他叫走了。	3
谁翻过我的文件了？	4
我一点也不明白你在说些什么。	1
他的快活是虚假的。	5
他们嘱咐我去看他。	7
所有的灯都熄灭了。	7
护士，我的脚非常冷，可以给我一只热水瓶吗？	4
她的武术练到家了。	3
她不在乎你是否喜欢她。	4
你完全不知道在那里是什么滋味。	7
事实是最顽强的东西。	6
医生诊看了她的舌头。	6
他喜欢吹牛。	2
要不然他还会在教书，因为他的心仍然在课堂上和他的学生们在一起。	3
她本来会嫁给他的，但知道他是个流氓后，她就离开他了。	7
你最好把我的书给我，否则我的测验将要不及格了。	4
听你谈话（那口气），我还以为你是首相呢。	3
他那不光彩历史的揭露导致了他的辞职。	6
他是一个有重要社会地位的人。	3
天气很暖和，我就把大衣脱了。	4
他为我演奏了他的许多乐曲。	6
你说话太不礼貌了，我已受够了。	5
如果你不加紧努力，你考试会不及格的。	3
上次考试他给我指点错了，所以我没及格。	3
我认为他对这个问题的评论是不正确的。	3
我记得她长着红头发。	2
他去邮局买些邮票。	4
他叫侍者拿菜单来。	7
他带着姐姐一同去。	2
他是我们产品的买主。	3
报纸上的这篇文章为他的演讲提供了启发。	5
我很倒霉，丢了钥匙。	7
这仅仅是调查的开始。	3
他对纪律是严格的。	4
他擦去铅笔的痕迹。	7
你知道谁打破了窗户？	4
你到底是什么意思?	3
我知道发生了什么事。	2
医生检查我的耳朵.	5
让我把我的零碎东西收拾起来。	5
我真诚地希望他能接受别人的批评。	4
他请求我们帮他完成他的计划。	2
这个悬而未决的问题什么时候能解决呢？	6
你的意见是否代表其他学生的意见？	3
在桌上的银相框里有张她丈夫的照片。	7
你脚上的麻木感一会儿就会消失。	3
让我解释迟到的理由。	4
她在学习以提高自己的代数水平。	3
多保重。再见。	3
我们说服她参加了宴会。	6
我们应该学习祖先的成就。	6
我不能肯定已经领会您的意思。是不是您不满意您现在的工作。	5
我喜欢书架上所有的书，但这本是我最喜欢的。	3
你可以在这本书的第一部分找到你要的资料。	4
有一天我在去我叔叔家的路上迷失了方向。	4
以牺牲健康来求得工作上的成功是不值得的。	6
我喜欢夏天吃莴苣，我的兔子也喜欢。	5
有多少人在争夺理事会的这一席位？	6
你没有认识到她这一成就的重大意义。	3
菠菜豆腐是我最爱吃的一种菜。	4
你注意到了这一点是够机灵的。	6
无忧无虑的无忧无虑的和不关心的；快活的	6
物理和数学都是我喜欢的科目.	2
在这件事情上我同他是一致的。	4
他被她那尖锐的问题弄得哑口无言。	7
他那有趣的表演引起了观众的哄堂大笑。	7
我工作时间是别人的两倍，可拿的钱却比谁都少，我感到十分委屈。	7
这只狗开始生病并且很快就死了。	3
我舒适地靠在大沙发上，开始看小说。	3
如果你再迟到，老板就会把你解雇。	7
我太生气了, 我一定要当面告诉她我对她的看法。	2
美国来的人他都瞧不起。	5
这些书是指定给他的。	3
这两个花样我都不喜欢。	1
我的厨房里有好几个勺子。	6
她是个可以信赖的人.	6
她是个和蔼可亲的人.	7
猫把我的围巾撕烂了。	7
你领会我说的意思吗？	3
她喜欢随着快节奏的音乐跳舞。	6
她喜欢炫耀她的精美衣服。	7
我从来不是爱挑拣的人。	7
我先去定好座位吧。	2
我尽量找些东西给你穿。	3
在院子里我看见两只猫。	2
在我现在看来，他那时似乎在叹气，而我吃吃地笑是在隐藏我的尴尬。	7
这传统有多久的历史了？	4
我恨他那讨厌的品行。	5
我因为严寒没出去看电影。	4
这是个关于国王的神话。	3
她最主要的品质是善良。	4
今天下午你读的什么书?	1
他的成功是勤奋工作的结果。	5
从一开始他就进行回击。	5
她把糖搅和到咖啡里。	7
如果天不晴，我们就不去散步。	3
我弄不明白他为什么缺席。	4
我们的要求的核心是言论自由。	5
他个子小但身体很健康。	2
你必须提前两小时到达机场。	3
他不断要求我们帮助他，过分利用了我们对他的好意。	3
那位体贴的丈夫对妻子的关怀使她感觉很不高兴。	4
他笑着告诉我这个消息。	3
我们要为新娘的健康干杯。	3
我们会尽力来达到世界水平。	3
我们的身体需要充足的营养。	3
跟他在一起的那个女人究竟是谁?	4
她的英雄事迹和她的先进思想是一致的。	7
劳驾，您能告诉我在哪能买到邮票吗？	5
仍有许多人的生活条件是很艰苦的。	5
我总觉得他讨厌我，但我不知道为什么。	5
我已经在这家旅馆里住了两个星期了。	2
你决不会知道你的鼓励对我多么有意义。	5
我儿子生病时，丈夫给了我极大的安慰。	5
我上来取我的手提袋，我把它忘在我的办公室了。	4
他年近四十。	2
你得等一等看。	1
那匹马踢了我。	6
我正要找你。	1
出国要多少钱？	1
我坐在他旁边。	1
他得了肺炎。	6
她向我眨眼。	7
她正在闹别扭呢。	6
现在到了紧要关头。	3
他得了肝癌。	7
我可以中途下车吗？	4
她的裙子有非常精致的花边。	4
搬运工会把你的行李搬到你的房间去的。	3
我们家的猫一窝养了4只小猫。	7
你们认为他是个好干部吗？	2
他的家在这个城市的东北部。	3
在这种地方保密是不可能的。	4
大部分有学问的人都很谦虚。	6
她写了一本关于巴黎公社的书。	7
他的行为表明他是可敬的。	5
她梳头的时候我一直看著她。	7
她的衣服让钉子给钩住了。	7
他和他妻子葬在一起.	7
她将我介绍给她的父母。	3
他不喜欢自己的宽大的鼻孔。	7
她用挖苦的语调和他说话。	6
他向每一个愿意听的人抱怨他的不幸。	5
你吃了这片药神经就不那麽紧张了。	3
不是我的错。	1
我这就上路。	1
她千方百计想离开。	2
他去年入党了。	6
你们在舞会上玩得高兴吗？	3
她谈的是计算机软件的开发问题。	5
您想让我现在开饭吗?	2
鱼做得恰到好处。	6
他被拘留了。	7
每个人都有自己的名字.	3
她的秘书处理她的一切约会。	4
上个礼拜我还看到你哥哥。	5
他不仅请我进屋，而且竟然还请喝了一杯。	4
请您放心，还款是有保障的。	6
他正在上初中。	3
我们的船逆流而上。	7
我们都被他的爱国精神深深感动了。	3
她列举她所要干的事情。	4
你懂挪威语吗？	7
爱情是盲目的。	6
他似乎是个万事通。其实他是再愚蠢不过了。	7
他总是在埋怨。	6
他的建议被认为是切实可行的。	3
我喜欢读一些关于电子音乐的书。	2
他完全是胡说！	5
他的财产被他叔叔霸占了。	7
成功和财富改变了他的性格。	4
既然现在她在法国工作，那就可以满足她游览欧洲的愿望了。	7
她喜欢各种运动。	3
我是为那个老人女儿的缘故才照顾他的。	6
把你们的名字写在名单上。	3
解放使我们的生活有了保障。	6
我们发现可折叠的桌子使用非常方便。	7
我将打电话告诉你测验的结果。	4
我们在黑暗中摸索。	5
我们决定为我们的新产品做广告。	3
她花起钱来大手大脚了，事情很明显，钱是偷来的。	5
我们一起欢度的那个晚上是我最快乐的事情之一。	4
一般人也许会嘲笑他的音乐，但我们更了解它。	7
不论你在哪里，我都会想念你。	3
